label,message
ham,"Hey are we still meeting for lunch today at 12?"
spam,"Congratulations! You have won a $1,000 Walmart Gift Card. Click here to claim your prize now!"
ham,"Can you please send me the latest project report before the meeting?"
spam,"URGENT: Your bank account has been suspended. Verify your identity immediately at http://secure-bank-login.com"
ham,"I will be working from home tomorrow due to an appointment."
spam,"Get cheap loans with zero interest rate! Apply today and get approved in 10 minutes."
ham,"Thanks for your help with the code review earlier, it really helped."
spam,"Exclusive offer: Buy 1 get 1 free on all designer watches! Limited time only."
ham,"Don't forget we have a team sync call at 3 PM."
spam,"You have been selected for a secret cash reward. Reply WIN to 88888 to receive your code."
ham,"Let me know when you are free to discuss the new feature design."
spam,"Your Netflix subscription payment failed. Update your billing information now to avoid service termination."
ham,"The server deployment finished successfully without any downtime."
spam,"Free entry in 2 a weekly competition to win FA Cup final tkts 21st May 2026. Text FA to 87121 to receive entry."
ham,"Hi mom, I will arrive home around 7 PM tonight."
spam,"Double your Bitcoin in 24 hours! Guaranteed returns with our automated crypto trading bot."
ham,"Could you review the pull request when you have a moment?"
spam,"Claim your free vacation to the Bahamas now! Call 1-800-FREE-TRIP today."
ham,"I uploaded the dataset to the shared drive for everyone to access."
spam,"ALERT: Unclaimed lottery winnings detected for your email address. Contact agent now."
